
Expectation,Data quality issue
ExpectColumnDistinctValuesToBeInSet,Sets
ExpectColumnDistinctValuesToContainSet,Sets
ExpectColumnDistinctValuesToEqualSet,Sets
ExpectColumnKLDivergenceToBeLessThan,Distribution
ExpectColumnMaxToBeBetween,Numerical data
ExpectColumnMeanToBeBetween,Numerical data
ExpectColumnMedianToBeBetween,Numerical data
ExpectColumnMinToBeBetween,Numerical data
ExpectColumnMostCommonValueToBeInSet,Sets
ExpectColumnPairValuesAToBeGreaterThanB,Distribution
ExpectColumnPairValuesToBeEqual,Data Integrity
ExpectColumnPairValuesToBeInSet,Sets
ExpectColumnProportionOfUniqueValuesToBeBetween,Cardinality
ExpectColumnQuantileValuesToBeBetween,Numerical data
ExpectColumnStdevToBeBetween,Distribution
ExpectColumnSumToBeBetween,Distribution
ExpectColumnToExist,Schema
ExpectColumnUniqueValueCountToBeBetween,Cardinality
ExpectColumnValueLengthsToBeBetween,Pattern matching
ExpectColumnValueLengthsToEqual,Pattern matching
ExpectColumnValueZScoresToBeLessThan,Distribution
ExpectColumnValuesToBeBetween,Distribution
ExpectColumnValuesToBeInSet,Sets
ExpectColumnValuesToBeInTypeList,Schema
ExpectColumnValuesToBeNull,Missingness
ExpectColumnValuesToBeOfType,Schema
ExpectColumnValuesToBeUnique,Cardinality
ExpectColumnValuesToMatchLikePattern,Pattern matching
ExpectColumnValuesToMatchLikePatternList,Pattern matching
ExpectColumnValuesToMatchRegex,Pattern matching
ExpectColumnValuesToMatchRegexList,Pattern matching
ExpectColumnValuesToNotBeInSet,Sets
ExpectColumnValuesToNotBeNull,Missingness
ExpectColumnValuesToNotMatchLikePattern,Pattern matching
ExpectColumnValuesToNotMatchLikePatternList,Pattern matching
ExpectColumnValuesToNotMatchRegex,Pattern matching
ExpectColumnValuesToNotMatchRegexList,Pattern matching
ExpectCompoundColumnsToBeUnique,Cardinality
ExpectMulticolumnSumToEqual,Data Integrity
ExpectSelectColumnValuesToBeUniqueWithinRecord,Cardinality
ExpectTableColumnCountToBeBetween,Schema
ExpectTableColumnCountToEqual,Schema
ExpectTableColumnsToMatchOrderedList,Schema
ExpectTableColumnsToMatchSet,Schema
ExpectTableRowCountToBeBetween,Volume
ExpectTableRowCountToEqual,Volume
ExpectTableRowCountToEqualOtherTable,Volume
